miss      catch         0
buy       sell          0
lose      find          0
go        stay          0
help      hurt          0
lower     raise         0
accept    decline       0
confess   deny          0
stop      move          0
freeze    thaw          0
divide    add           0
lose      keep          0
laugh     cry           0
boil      freeze        0
dislike   admire        0
stop      spin          0
forget    attend        0
deliver   stand         0
kill      look          0
stop      drive         0
die       grow          0
protect   hurt          0
grasp     release       0
shrink    snore         0
lend      sting         0
drive     breed         0
visit     giggle        0
correct   disintegra    0
choke     succeed       0
survive   flush         0
dissolve  adore         0
humiliate comfort       0
create    dive          0
vomit     discover      0
shut      vomit         0
hurt      salute        0
blame     travel        0
snooze    happen        0
commit    explode       0
die       survive      0.15
drink     vomit        0.15
leave     return       0.15
despair   help         0.15
achieve   fail         0.15
explain   mow          0.15
doze      throw        0.15
melt      freeze       0.17
hate      respect      0.17
remove    add          0.17
divide    unite        0.17
allow     deny         0.17
stamp     lick         0.17
follow    lead         0.17
miss      hit          0.17
lose      control      0.17
decrease  increase     0.17
stop      flow         0.17
make      break        0.17
humiliate laugh        0.17
forbid    allow        0.17
forget    remember     0.17
shake     bake         0.17
lie       believe      0.17
leave     arrive       0.17
like      dislike      0.17
seek      hide         0.17
hit       run          0.17
perceive  deceive      0.17
repair    break        0.17
stay      leave        0.17
enjoy     hate         0.17
destroy   seek         0.17
leave     join         0.17
rob       give         0.17
allow     disprove     0.17
stop      walk         0.17
stain     remove       0.17
steal     return       0.17
lose      earn         0.17
stain     wash         0.17
fill      dig          0.17
allow     reject       0.17
sweat     relax        0.17
overcome  fail         0.17
bound     correct      0.17
miss      cook         0.17
refuse    flex         0.17
remind    graduate     0.17
read      bite         0.17
wipe      lead         0.17
shoot     inspect      0.17
wrap      swap         0.17
cry       cheat        0.17
pinch     drive        0.17
disbelievetravel       0.17
boom      obtain       0.17
grasp     deposit      0.17
annihilateflee         0.17
dip       want         0.17
dip       teach        0.17
hug       discuss      0.17
sprinkle  obtain       0.17
forbid    drown        0.17
portray   reap         0.17
comprehendremain       0.17
ride      smash        0.17
unite     guess        0.17
bite      ask          0.17
dispose   build        0.17
sit       rise         0.3
go        wait         0.3
destroy   save         0.3
bleach    acknowledg   0.3
shake     collect      0.3
forget    recall       0.33
disbelievebelieve      0.33
kill      live         0.33
disprove  agree        0.33
add       reduce       0.33
defend    prosecute    0.33
sink      float        0.33
fall      rise         0.33
stop      whistle      0.33
break     connect      0.33
grab      release      0.33
detach    attach       0.33
begin     stop         0.33
deny      admit        0.33
retreat   advance      0.33
lie       promise      0.33
loosen    tie          0.33
rise      lower        0.33
incline   decline      0.33
lose      gain         0.33
whisper   scream       0.33
do        stop         0.33
fasten    loosen       0.33
hope      despair      0.33
promise   break        0.33
waste     want         0.33
sneeze    bless        0.33
break     restore      0.33
delay     start        0.33
win       fail         0.33
climb     descend      0.33
start     stop         0.33
reject    take         0.33
punish    obey         0.33
deny      request      0.33
give      decline      0.33
fly       swim         0.33
find      scramble     0.33
fix       demolish     0.33
delay     hurry        0.33
forget    think        0.33
rebel     obey         0.33
like      disgust      0.33
separate  join         0.33
scare     cry          0.33
lose      obtain       0.33
do        forbid       0.33
blush     obey         0.33
hide      swim         0.33
drip      adore        0.33
educate   pray         0.33
lower     bumble       0.33
smoke     forgive      0.33
fly       cuddle       0.33
move      humiliate    0.33
print     ignore       0.33
enter     kick         0.33
demand    suck         0.33
replace   explain      0.33
clarify   worry        0.33
hear      pretend      0.33
nag       roam         0.33
bend      decide       0.33
pour      awake        0.33
perspire  enter        0.33
attempt   yawn         0.33
flee      aim          0.33
regret    fold         0.33
integrate drown        0.33
repeat    slap         0.33
belong    intoxicate   0.33
discourageoverflow     0.33
haul      stab         0.33
speak     tote         0.33
overwhelm restore      0.33
weep      notify       0.33
travel    perform      0.33
magnify   drip         0.33
overflow  kiss         0.33
hug       dismay       0.33
spawn     exploit      0.33
work      disappear    0.33
recycle   waste        0.45
laugh     cough        0.45
refuse    slide        0.45
confuse   understand   0.5
separate  combine      0.5
finish    start        0.5
break     replace      0.5
concentratwander       0.5
jerk      prick        0.5
permit    deny         0.5
choke     swallow      0.5
build     destroy      0.5
move      stay         0.5
destroy   construct    0.5
drink     pop          0.5
give      disown       0.5
break     unite        0.5
swim      meet         0.5
sniff     scratch      0.5
prohibit  allow        0.5
increase  decline      0.5
multiply  divide       0.5
live      die          0.5
borrow    return       0.5
forget    learn        0.5
soothe    hurt         0.5
forget    remind       0.5
disallow  allow        0.5
ask       receive      0.5
remain    leave        0.5
tear      sew          0.5
capture   escape       0.5
beg       steal        0.5
attend    miss         0.5
hide      appear       0.5
change    remain       0.5
find      disappear    0.5
let       forbid       0.5
stop      hurt         0.5
smell     spoil        0.5
destroy   fix          0.5
confuse   help         0.5
hang      fall         0.5
refuse    give         0.5
change    stay         0.5
attract   disgust      0.5
catch     release      0.5
testify   lie          0.5
stop      accelerate   0.5
stay      fade         0.5
elect     reject       0.5
supply    deny         0.5
help      refuse       0.5
hate      adore        0.5
prosper   fail         0.5
accept    give         0.5
drive     drink        0.5
pluck     duck         0.5
sew       convince     0.5
assume    tumble       0.5
appear    command      0.5
beg       spread       0.5
discouragefinish       0.5
collect   please       0.5
update    tear         0.5
polish    inform       0.5
lounge    freeze       0.5
disappear earn         0.5
enjoy     start        0.5
set       swim         0.5
attack    disgust      0.5
taste     rearrange    0.5
roam      draw         0.5
awake     kneel        0.5
offend    loosen       0.5
tap       abduct       0.5
attend    lift         0.5
travel    determine    0.5
hesitate  announce     0.5
swear     foil         0.5
grill     leap         0.5
look      heal         0.5
discover  pay          0.5
enjoy     wait         0.5
scratch   repair       0.5
despise   taste        0.5
freeze    embarrass    0.5
scribble  prick        0.5
snatch    stop         0.5
sew       crave        0.5
irritate  guess        0.5
integrate wiggle       0.5
attract   bite         0.5
return    ridicule     0.5
observe   vanish       0.5
exceed    whisper      0.5
dispose   bias         0.5
deposit   return       0.6
tear      fold         0.66
ask       tell         0.66
sell      borrow       0.66
float     drown        0.66
give      beg          0.66
speak     listen       0.66
slide     show         0.66
receive   give         0.66
help      criticize    0.66
smell     offend       0.66
accuse    defend       0.66
excuse    interrupt    0.66
help      cry          0.66
breathe   smother      0.66
agree     disagree     0.66
leave     ascend       0.66
tell      listen       0.66
let       do           0.66
reap      sow          0.66
capture   release      0.66
forgive   beg          0.66
flap      cover        0.66
hurt      soar         0.66
lay       stand        0.66
spread    gather       0.66
squeeze   play         0.66
wait      call         0.66
give      demand       0.66
leave     wait         0.66
dance     flash        0.66
accuse    lie          0.66
ascend    fall         0.66
bring     forget       0.66
refuse    agree        0.66
disappear reappear     0.66
forbid    permit       0.66
stand     kneel        0.66
push      tug          0.66
hear      repeat       0.66
flex      relax        0.66
go        command      0.66
live      move         0.66
wash      wear         0.66
leave     appear       0.66
leave     float        0.66
go        sell         0.66
keep      return       0.66
sit       dance        0.66
awake     snore        0.66
burn      smother      0.66
win       struggle     0.66
hypnotize remember     0.66
tend      leave        0.66
scare     laugh        0.66
plead     help         0.66
design    award        0.66
steal     give         0.66
get       go           0.66
go        pause        0.66
learn     confuse      0.66
find      escape       0.66
hesitate  go           0.66
stay      roam         0.66
acquire   tear         0.66
allow     erode        0.66
breathe   slice        0.66
despise   charge       0.66
bake      understand   0.66
prohibit  glare        0.66
drink     raise        0.66
buzz      sew          0.66
crunch    permit       0.66
spray     attempt      0.66
fold      request      0.66
defeat    trim         0.66
print     rip          0.66
announce  crush        0.66
lead      confuse      0.66
return    clarify      0.66
chase     giggle       0.66
squeak    guess        0.66
admit     chew         0.66
wait      disprove     0.66
kill      splash       0.66
kneel     flow         0.66
sing      float        0.66
shove     scribble     0.66
suppose   degrade      0.66
determine deny         0.66
deterioratdelay        0.66
complain  disown       0.66
engage    supply       0.66
